あいあいあ	アイアイアイ
あいえいあ	アイエイア島
あいがいあ	アイガイア海
あいざいあ	アイザイア・ロード・トーマス3世
あいぜいあ	アイゼイア・ヒックス
あいだいあ	アイダイアグラム
あいねいあ	トロイから逃げるアイネイアース
あにまにあ	アニマニアックス_(リブート)
ありごりあ	アリゴリアガ
ありたりあ	アリタリア航空771便墜落事故
ありまりあ	天啓のアリマリア
あるきるあ	日本アルキルアルミ
あーさーあ	アーサーアンダーセン
あーべーあ	マイアーベーア
あーみーあ	アーミーアント
あーりーあ	アーリーアドプター
ぃてくてぃ	ミス・ディテクティブシリーズ
ぃでぃでぃ	ステフィー・マヴィディディ
いあいあい	ハイアイアイ群島
いぇじぇい	オティリア・イェジェイチャク
いえすえい	アイエスエイ
いこるこい	オルゴイコルコイ
いしいしい	ケイシイシイ
いすどすい	シンクロナイスドスイミング
いせんせい	インテリぶる推理少女とハメたいせんせい
いなるない	エルム街の悪夢_ザ・ファイナルナイトメア
いのちのい	いのちのいろえんぴつ
いのんのい	イノンノイタㇵ
いはいはい	フリーウェイハイハイ
いばーばい	サイバーバイオリン
いらるらい	スパイラルライフ
うぃてぃう	キュプリアヌス・レオウィティウス
うぃでぃう	プーブリウス・オウィディウス・ナーソー
うきうきう	ウキウキウォッチング
うんうんう	ウンウンウニウム
えいえいえ	エイエイエスケータリング
えすえすえ	エスエスエックストリッキー
えむえむえ	エムエムエスマンションマネージメントサービス
えんえんえ	エンエンエンジェル
えんじんえ	エンジンエンターテイメント
えーおーえ	ドコモ・エーオーエル
えーたーえ	CRスロぱちんこグラディエーターエボリューション
おいしいお	おいしいおかゆ
おえおえお	オエオエオ!
おおきおお	おおきおおいもうちぎみ
おおばおお	オオバオオヤマレンゲ
おにおにお	オニオニオン熱
おぱおぱお	ニーハオパオパオ
おりぶりお	オリブリオス
おりべりお	オリベリオ・リンコン
おるきるお	オルキルオト原子力発電所
おーがーお	オーガーオーグレス・プロダクション
おーだーお	オーダーオブセントジョージ
おーばーお	雨踏むオーバーオール
おーりーお	オーリーオーン
かいけいか	いちじかいけいかんさにん
かかふかか	カカフカカ-こじらせ大人のシェアハウス-
かせのせか	ハカセのセカイ
かなかなか	かなかなかぞく
かみかみか	かみかみかえし
かりしりか	アルカリシリカ反応
かるだるか	カルダルカエオール
かるまるか	カルマルカサークル
かんかんか	かんかんからす
かんたんか	ワカンタンカ
かーまーか	ナレンドラ・カーマーカー
かーりーか	カーリーカップ
がおがおが	夏のイナズマ/ガオガオガオ
ががががが	ガガガガガレッジセール
がりがりが	ガリガリガリクソン
がんがんが	がんがんがんこちゃん
きいきいき	さぬきいきいき百科
きがたがき	キガタガキタ!_〜「恐怖新聞」より〜
きたかたき	キタカタキンポウゲ
きたきたき	きたきたきたよ
きらきらき	カービィのキラキラキッズ
ぎんぎんぎ	ギンギンギツネ
くありあく	ジラキット・クアリアクン
くすくすく	クスクスクス
くらくらく	くらくらくー
くるくるく	くるくるくるりんシリーズ
くろぴろく	シクロピロクス
ぐるべるぐ	エイヴィン・グルベルグ＝イェンセン
ぐるまるぐ	グルマルグ自然保護区
ぐんぐんぐ	ぐんぐんぐん_みどりのうた
けっけっけ	ケッケッケロロの大作戦♪
けつあつけ	けつあつけい
けろけろけ	ケロケロケロッピ
げんみんげ	ゲンミンゲン
げーまーげ	ゲーマーゲート集団嫌がらせ事件
こすもすこ	コスモスコーポレイション
こにこにこ	いっこにこにこ
こばのばこ	ケンコバのバコバコナイト
ころころこ	週刊コロコロコミック
こーじーこ	銀座コージーコーナー
こーせーこ	コーセーコスメポート
ごまたまご	ごまたまご_(菓子)
ごーごーご	マッハゴーゴーゴー
さまさまさ	サマサマサマー
さらさらさ	さらさらささら
さるばるさ	サルバルサン
さんごんさ	サンゴンサロ_(リオデジャネイロ州)
